"","kmeans_result_2","kmeans_result_3","kmeans_result_5","labels_average","labels_complete","labels_single","dbscan_smal","dbscan_med","dbscan_big"
"388",1,1,5,1,3,1,12,3,1
"389",1,1,3,1,3,1,14,3,1
"390",1,1,5,1,2,1,16,3,1
"391",1,1,3,1,3,1,0,0,4
"392",2,2,2,1,2,1,1,1,1
"393",2,3,4,1,1,1,0,0,0
"394",2,2,2,1,2,1,0,1,1
"395",1,1,5,1,3,1,3,3,1
"396",1,1,3,1,3,1,0,0,5
"397",1,1,3,1,3,1,10,3,1
"398",1,1,3,1,3,1,4,3,1
"399",2,2,2,1,2,1,0,0,0
"400",2,2,2,1,2,1,2,1,1
"401",1,1,5,1,3,1,11,3,1
"402",2,2,2,1,2,1,2,1,1
"403",2,2,5,1,2,1,0,0,0
"404",1,1,5,1,2,1,16,3,1
"405",1,1,5,1,3,1,0,0,0
"406",1,1,1,1,3,1,0,0,0
"407",1,2,1,1,3,1,0,9,3
"408",2,3,4,1,1,1,0,0,0
"409",2,2,2,1,2,1,0,6,1
"410",1,1,3,1,3,1,15,5,1
"411",1,1,1,1,3,1,0,0,0
"412",1,1,5,1,3,1,12,3,1
"413",1,2,1,1,2,1,0,8,6
"414",1,1,5,1,3,1,7,3,1
"415",1,2,5,1,2,1,0,6,1
"416",2,2,2,1,2,1,2,1,1
